n[m], e[m], u[m] 
0.0,0.0,0.0
-0.006376098615220103,-0.012922647455357454,0.0011621283371223076
-0.010909229604717232,-0.025845295040017098,0.004691421168328374
-0.014828038017038867,-0.03876794241974431,0.00900976802136799
-0.014729808290927552,-0.007177633992923028,0.011467969250098986
-0.0110690926238954,-0.010624642142733365,0.00354854411050256
-0.016621891104175574,-0.022972788312112257,0.007871704411204572
-0.017555895718210528,-0.03611105533060911,0.012400895155096545
-0.011047356306961215,-0.0053832255428699115,0.008600976996434305
-0.009226124591403605,-0.010624642142733365,0.005915708273541973
-0.013077565846964161,-0.0007163103956934476,0.008914268004560515
-0.007260988320371967,-0.010265760386327785,0.00692041964928063
